NOME_COMERCIAL,NOME_GENERICO,FABRICANTE,TIPO_PRODUTO
ROPIVACAINE HYDROCHLORIDE,Ropivacaine Hydrochloride,HIKMA PHARMACEUTICALS USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
INFANTS GAS RELIEF,Simethicone,"UNITED NATURAL FOODS, INC. DBA UNFI",MEDICAMENTO ISENTO DE PRESCRIÇÃO
DULCOLAX PINK STIMULANT LAXATIVE,Bisacodyl,"CHATTEM, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
RUTHENIUM,Ruthenium,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
COBALTUM PHOSPHORICUM,Cobaltum Phosphoricum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VANADIUM METALLICUM,Vanadium Metallicum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ROBINIA PSEUDACACIA,Robinia Pseudacacia,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MERCURIUS CYANATUS,Mercurius Cyanatus,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SCUTELLARIA LATERIFLORA,Scutellaria Lateriflora,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
OENANTHE CROCATA,Oenanthe Crocata,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BISMUTHUM SUBNITRICUM,Bismuthum Subnitricum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
TITANIUM OXYDATUM,Titanium Oxydatum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MAGNESIA NITRICA,Magnesia Nitrica,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
NITRI SPIRITUS DULCIS,Nitri Spiritus Dulcis,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ANACARDIUM ORIENTALE,Anacardium Orientale,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MOLYBDENUM PHOSPHORATUM,Molybdenum Phosphoratum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ERIBULIN MESYLATE,eribulin mesylate,HIKMA PHARMACEUTICALS USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
TADALAFIL,tadalafil,"SOLCO HEALTHCARE US, LLC",MEDICAMENTO SOB PRESCRIÇÃO
ARIPIPRAZOLE,aripiprazole,"SOLCO HEALTHCARE U.S., LLC",MEDICAMENTO SOB PRESCRIÇÃO
TADALAFIL,Tadalafil,DR.REDDYS LABORATORIES INC,MEDICAMENTO SOB PRESCRIÇÃO
EYE SARCODE,Eye (Suis),"DESERET BIOLOGICALS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CARE ONE RESTORE AND DEFEND SENSITIVE WHITENING,Stannous fluoride,FOODHOLD U.S.A.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CEPHALEXIN,Cephalexin,AVKARE,MEDICAMENTO SOB PRESCRIÇÃO
SUGAR FREE MENTHOL COUGH DROPS,Menthol,MEIJER,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ASPIRIN 81 MG,ASPIRIN,MEIJER,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ZOLMITRIPTAN OD,Zolmitriptan,AVKARE,MEDICAMENTO SOB PRESCRIÇÃO
COLD FLU,"acetaminophen, dextromethorphan hydrobromide, doxylamine succinate",HYVEE INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ISOSORBIDE MONONITRATE,Isosorbide Mononitrate,"SHANDONG NEW TIME PHARMACEUTICAL CO., LTD.",MEDICAMENTO SOB PRESCRIÇÃO
NRG TOPICAL ANESTHETIC,Benzocaine,"IQ DENTAL SUPPLY, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BUSPIRONE HYDROCHLORIDE,Buspirone hydrochloride,"EPIC PHARMA, LLC",MEDICAMENTO SOB PRESCRIÇÃO
AMOXICILLIN AND CLAVULANATE POTASSIUM,Amoxicillin and Clavulanate Potassium,"PD-RX PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
OXYBUTYNIN CHLORIDE,Oxybutynin Chloride,"PD-RX PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
GLIPIZIDE,Glipizide,"APHENA PHARMA SOLUTIONS - TENNESSEE, LLC",MEDICAMENTO SOB PRESCRIÇÃO
